code  , name    , signal_date, close  , ma20                 , ma60                 , ma120                , ma20_slope_5           , ma60_slope_10          , ret10                 , ret20                 , ret60                 , amount_ma5   , amount_ma20   , amount_ratio_5_20  , turnover_ma5         , turnover_ma20        , high20 , high60 , is_20d_high, is_60d_high, dist_to_60d_high      , max_dd20             , up_down_amount_ratio20, limit_up_count_5, heavy_bearish_candle, bench_ret20         , bench_ret60         , ret20_rank_pct        , ret60_rank_pct        , basic_liquid, trend_basic, relative_strength, volume_ok, near_breakout, risk_ok, candidate, score, status
601838, 成都银行, 2026-06-08 ,   18.97,   18.7525            ,   17.995166666666666 ,   17.147333333333336 , 0.000720422647953578   , 0.020809303205067797   , 0.03435114503816794   , -0.003676470588235281 , 0.11653914067098303   ,   468178864.0,   390917600.95, 1.197640788908561  , 0.00577321354337998  , 0.0049106925437793   ,   19.36,   19.36, False      , False      , -0.02014462809917361  , -0.03218997361477571 ,    0.8598483605495232 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.8536260811709914    , 0.8845642049234863    , True        , True       , True             , False    , True         , True   , False    ,    78, 回踩观察
603328, 依顿电子, 2026-06-08 ,   13.0 ,   12.5685            ,   12.440333333333335 ,   11.994833333333334 , 0.01065455130266968    , 0.0031583049981860345  , 0.030927835051546504  , 0.014040561622464809  , 0.025236593059936974  ,   751548670.6,   528351723.2 , 1.4224400860248771 , 0.05838922353445104  , 0.04177053577293684  ,   13.54,   14.72, False      , False      , -0.11684782608695654  , -0.10230769230769232 ,    1.5705538958560044 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.874251497005988     , 0.8180306054557551    , True        , True       , True             , True     , False        , True   , False    ,    78, 回踩观察
000670, 盈方微  , 2026-06-08 ,    9.13,    8.7975            ,    8.312833333333334 ,    8.179333333333334 , 0.03469567774184057    , 0.019750158451064426   , -0.01297297297297284  , 0.11477411477411503   , 0.11070559610705599   ,   880840682.2,   855060270.15, 1.0301504033692006 , 0.11676620279912756  , 0.11605902240222302  ,   10.18,   10.18, False      , False      , -0.10314341846758335  , -0.14572864321608037 ,    1.5440295330513056 ,              1.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9424484364604125    , 0.8815701929474384    , True        , True       , True             , False    , False        , True   , False    ,    77, 回踩观察
002491, 通鼎互联, 2026-06-08 ,   25.1 ,   23.9155            ,   17.343666666666664 ,   12.508333333333333 , 0.06975755949185891    , 0.13816034124466792    , 0.06446140797285849   , 0.1042674879014518    , 1.1092436974789917    ,  6539681783.8,  4749862515.85, 1.3768149629547135 , 0.21852040435330816  , 0.16675812219599304  ,   28.58,   28.58, False      , False      , -0.12176347095871232  , -0.21187384044526902 ,    1.3675428438637838 ,              1.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9391217564870259    , 0.9936793080505656    , True        , True       , True             , True     , False        , False  , False    ,    77, 回踩观察
002832, 比音勒芬, 2026-06-08 ,   20.25,   19.5785            ,   17.96333333333333  ,   16.398416666666666 , 0.0003065525609911024  , 0.03633618907510483    , 0.0044642857142858094 , 0.011994002998500619  , 0.25077208153180974   ,   245382774.0,   238119135.1 , 1.0305042217499638 , 0.030903352755773484 , 0.02993364276650139  ,   21.36,   21.36, False      , False      , -0.05196629213483139  , -0.0876162506118453  ,    1.1353396426296691 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.8725881570192947    , 0.936127744510978     , True        , True       , True             , False    , False        , True   , False    ,    77, 回踩观察
002916, 深南电路, 2026-06-08 ,  369.64,  367.553             ,  299.79516666666666  ,  267.20933333333335  , 0.045195707779826844   , 0.07227607798627278    , -0.07029854875625641  , 0.11501915477662816   , 0.4104628534361048    ,  6234356327.0,  5319852586.8 , 1.1719039626152672 , 0.02439524769089842  , 0.0212293018698816   ,  430.38,  430.38, False      , False      , -0.14113109345229802  , -0.11350936518214749 ,    1.3090668233279505 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9427811044577512    , 0.9600798403193613    , True        , True       , True             , False    , False        , True   , False    ,    77, 回踩观察
600863, 华能蒙电, 2026-06-08 ,    6.06,    6.037999999999999 ,    5.323166666666667 ,    5.056             , 0.09097479447104528    , 0.05496284062758061    , 0.021922428330522825  , 0.26249999999999996   , 0.130597014925373     ,  3446004477.8,  2472448008.45, 1.3937621604267147 , 0.0760895492585325   , 0.05852824506285968  ,    8.03,    8.03, False      , False      , -0.2453300124533001   , -0.23484848484848486 ,    1.2198209723596394 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9780439121756487    , 0.8928809048569527    , True        , True       , True             , True     , False        , False  , False    ,    77, 回踩观察
600900, 长江电力, 2026-06-08 ,   27.51,   27.2375            ,   27.0405            ,   26.921499999999998 , 0.005741821135809788   , 0.005304020769950624   , 0.03149606299212593   , 0.018511662347278746  , 0.013259668508287303  ,  3078749075.0,  3341542581.35, 0.9213556314330043 , 0.00453677745916942  , 0.005008928750860995 ,   28.15,   28.15, False      , False      , -0.02273534635879204  , -0.025321100917431227,    1.0090815792047192 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.8819028609447771    , 0.8050565535595475    , True        , True       , True             , False    , True         , True   , False    ,    77, 回踩观察
601518, 吉林高速, 2026-06-08 ,    3.03,    3.0035            ,    2.9488333333333334,    2.9153333333333338, 0.016069012178619557   , 0.005569764137539179   , -0.013029315960912058 , 0.03412969283276435   , 0.016778523489932917  ,    83950787.2,    81985425.45, 1.0239720869802476 , 0.014233738696824715 , 0.014329852682392296 ,    3.23,    3.23, False      , False      , -0.0619195046439629   , -0.07073954983922826 ,    1.5933807457663924 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.8975382568196939    , 0.8083832335329342    , True        , True       , True             , False    , False        , True   , False    ,    77, 回踩观察
603213, 镇洋发展, 2026-06-08 ,   14.16,   13.912             ,   13.512166666666667 ,   13.409083333333335 , 0.012702456778889815   , 0.009588682863653997   , 0.013600572655690701  , 0.038123167155425186  , 0.05044510385756684   ,    92469383.2,    84594243.65, 1.093093090146684  , 0.014645015523651852 , 0.013463494679435273 ,   15.04,   15.04, False      , False      , -0.058510638297872286 , -0.05770536320434483 ,    1.3972363687085136 ,              0.0, False               , -0.04810356237493274, 0.008317011625847526, 0.9005322687957419    , 0.8366600133067199    , True        , True       , True             , False    , False        , True   , False    ,    77, 回踩观察
