code,name,industry,signal_date,close,ma5,ma10,ma20,ma60,ma120,ma5_slope_3,ma10_slope_5,ma20_slope_5,ma60_slope_10,ret5,ret10,ret20,ret60,amount_ma5,amount_ma10,amount_ma20,amount_ratio_5_20,turnover_ma5,turnover_ma20,high20,high60,is_20d_high,is_60d_high,dist_to_60d_high,max_dd20,atr20,atr20_pct,up_down_amount_ratio20,limit_up_count_5,heavy_bearish_candle,short_term_strong,pullback_rebound,bench_ret20,bench_ret60,market_ok,market_state,ret20_rank_pct,ret60_rank_pct,industry_ret20,industry_ret60,industry_ret20_rank_pct,industry_ret60_rank_pct,industry_count,industry_strong,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,short_term_ok,candidate,score,status
002714,牧原股份,,2026-06-03,36.2,37.17999999999999,37.745000000000005,39.7735,43.34366666666667,45.249,-0.017389925471748224,-0.0437525334414266,-0.037765063082897066,-0.028680702619322318,-0.04131355932203373,-0.07440552288417279,-0.1800679501698753,-0.2179736444156405,1811264809.0,1676061916.8,1876056500.65,0.9654638910781463,0.01283468169394154,0.012263600428015579,44.61,50.92,False,False,-0.28908091123330715,-0.1742700729927007,1.248,0.034475138121546955,0.3099982763336957,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.10711909514304724,0.16467065868263472,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
002728,特一药业,,2026-06-03,8.5,8.62,8.661,9.1485,10.1425,10.940916666666668,-0.0002319647413593362,-0.0388414160470536,-0.032160804020100575,-0.04753333750704303,-0.001175088131609825,-0.06798245614035081,-0.1344195519348269,-0.22867513611615242,73372605.8,76547995.7,101743104.05,0.7211555661201591,0.02517193926347159,0.032292641631470456,10.25,11.46,False,False,-0.2582897033158814,-0.16502946954813358,0.23699999999999982,0.02788235294117645,0.8464589101467959,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.27478376580172986,0.1437125748502994,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
003040,楚天龙,,2026-06-03,12.87,13.05,13.424000000000001,14.065999999999999,15.5075,17.139,-0.03276015416543121,-0.04760553387726152,-0.029897582675264767,-0.04669938424023834,-0.03667664670658688,-0.09493670886075956,-0.14655172413793105,-0.27247032221594125,76499192.4,84622605.8,84824786.95,0.9018495082704125,0.012775377703737625,0.013165007449771376,15.28,17.97,False,False,-0.2838063439065108,-0.15217391304347827,0.41850000000000015,0.03251748251748253,0.26774097466293173,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.21823020625415834,0.07052561543579508,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600120,浙江东方,,2026-06-03,4.78,4.818,4.898000000000001,5.1235,5.534666666666667,5.95475,-0.017937219730941867,-0.027016289233213975,-0.037388445279473936,-0.043079849004408866,-0.028455284552845517,-0.03629032258064513,-0.14336917562724016,-0.23763955342902698,157319805.2,197612371.2,245214600.3,0.641559699167717,0.009436813918297086,0.01368170377436707,5.76,6.36,False,False,-0.2484276729559748,-0.16608391608391615,0.15100000000000008,0.03158995815899583,0.5504964953921335,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.23386560212907517,0.12608117099135063,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600192,长城电工,,2026-06-03,7.33,7.508,7.718999999999999,8.2645,8.6145,9.228416666666668,-0.025694264209706774,-0.07755736137667313,-0.022068394272866998,-0.035654315459531905,-0.031704095112285335,-0.1335697399527187,-0.12945368171021376,-0.25508130081300806,48034974.6,58559323.7,101063069.5,0.4752970084685584,0.01447700589476352,0.026688634130771362,9.88,10.26,False,False,-0.2855750487329435,-0.20239390642002175,0.38100000000000017,0.05197817189631653,1.018010032775493,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.29740518962075846,0.09547571523619428,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600249,两面针,,2026-06-03,5.37,5.372,5.393,5.640000000000001,5.898,5.95725,0.002238805970149249,-0.03021039381406221,-0.026495210149305115,-0.015495896508554652,0.005617977528090012,-0.04107142857142854,-0.09747899159663864,-0.06118881118881114,44057904.4,50208207.4,89027094.9,0.49488197328564065,0.014943681818181759,0.027853101545454506,6.5,7.71,False,False,-0.30350194552529186,-0.1603773584905661,0.1795,0.033426443202979515,0.4780795665752239,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.4550898203592814,0.6001330671989354,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600271,航天信息,,2026-06-03,7.36,7.459999999999999,7.654999999999999,8.0545,8.519,9.462916666666667,-0.028392810627767773,-0.04824070620415288,-0.026293520309477625,-0.04149867796800866,-0.026455026455026398,-0.09914320685434508,-0.13918128654970763,-0.2373056994818653,113500918.2,125092267.4,151544488.4,0.7489610437062916,0.00819149173603324,0.01005494590322138,8.85,9.89,False,False,-0.2558139534883721,-0.1617312072892938,0.24399999999999972,0.03315217391304344,0.8928264371800716,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.2551563539587492,0.12840984697272123,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600318,新力金融,,2026-06-03,6.63,6.7379999999999995,6.900999999999999,7.277500000000001,7.804333333333333,8.359583333333333,-0.022628372497824234,-0.04800662160297986,-0.03500629848173442,-0.045166289431292306,-0.030701754385964897,-0.09178082191780823,-0.15862944162436543,-0.33097880928355194,68393640.8,83036899.9,88752439.95,0.7706113864422269,0.019696242546178962,0.023540110668347925,7.99,10.2,False,False,-0.35,-0.16603773584905668,0.21100000000000008,0.03182503770739066,0.48627805054487483,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.17065868263473055,0.020958083832335328,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600325,华发股份,,2026-06-03,2.74,2.858,2.851,3.127,3.491333333333333,3.90575,0.004922644163150469,-0.05752066115702481,-0.04780755176613882,-0.06369284405309983,-0.0036363636363635488,-0.09271523178807939,-0.23676880222841212,-0.3317073170731706,195085721.2,171342559.0,197279791.05,0.9888783851689911,0.02458398066249906,0.022596352410340345,3.77,4.16,False,False,-0.34134615384615385,-0.2614555256064689,0.14050000000000004,0.051277372262773735,0.5257930244842342,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.025282767797737856,0.020625415834996674,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
600346,恒力石化,,2026-06-03,17.51,17.328,17.742,19.5035,21.264666666666667,21.93775,-0.012987012987013102,-0.07948531700736727,-0.052008651906578884,-0.05329079171922535,0.008640552995391904,-0.10434782608695647,-0.22108540925266895,-0.29875851021225464,830782751.4,812663680.4,834003676.55,0.9961379964614498,0.006736099166303219,0.005995640981527025,22.85,25.89,False,False,-0.32367709540363065,-0.23965827338129486,0.8415000000000002,0.04805825242718448,0.3611005783112729,0.0,False,False,False,0.012654259412318014,0.06263689590446186,True,市场趋势良好,0.0385894876912841,0.041583499667332005,,,,,,True,True,False,False,False,False,False,False,False,22,跌破MA60剔除
