code,name,industry,signal_date,close,ma5,ma10,ma20,ma60,ma120,ma5_slope_3,ma10_slope_5,ma20_slope_5,ma60_slope_10,ret5,ret10,ret20,ret60,amount_ma5,amount_ma10,amount_ma20,amount_ratio_5_20,turnover_ma5,turnover_ma20,high20,high60,is_20d_high,is_60d_high,dist_to_60d_high,max_dd20,atr20,atr20_pct,up_down_amount_ratio20,limit_up_count_5,heavy_bearish_candle,short_term_strong,pullback_rebound,bench_ret20,bench_ret60,market_ok,market_state,ret20_rank_pct,ret60_rank_pct,industry_ret20,industry_ret60,industry_ret20_rank_pct,industry_ret60_rank_pct,industry_count,industry_strong,basic_liquid,trend_basic,relative_strength,volume_ok,near_breakout,risk_ok,short_term_ok,candidate,score,trend_confirmed_by_score,status,score_trend_status,score_now,score_3d_ago,score_5d_ago,score_change_3d,score_change_5d,score_ma3,score_ma5,score_min5,score_max5,status_5d_ago,status_changed
600596,新安股份,,2026-06-18,15.38,15.356,14.854999999999999,13.965,12.518333333333334,12.43725,0.045052402341091646,0.07310554070649422,0.06590848376140146,0.03532882131583692,0.0755244755244755,0.08157524613220812,0.2848788638262323,0.4214417744916821,1578845525.8,1468730822.5,1199566714.4,1.3161798396429396,0.07655706514515351,0.062253499488794405,16.43,16.43,False,False,-0.06390748630553855,-0.09111617312072884,1.0,0.06501950585175552,1.0600055683172724,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9560585885486018,0.9264314247669774,,,,,,True,True,True,True,True,False,True,True,False,100,True,短中线转强池,强趋势延续,100.0,93.0,74.0,7.0,24.0,100.0,93.8,76.0,100.0,市场环境弱观察,True
600601,方正科技,,2026-06-18,14.4,13.838,12.965,12.9195,11.790166666666666,11.686749999999998,0.11005936146317974,0.045817536500766254,0.031826531427202154,0.0362096998637742,0.22866894197952226,0.1410459587955626,0.23817712811693892,0.43999999999999995,4588976414.2,3395764892.4,3677525112.45,1.247843664932252,0.08053932078278786,0.0677224497448157,15.07,15.07,False,False,-0.0444591904445919,-0.12732688011913618,0.8434999999999999,0.05857638888888888,2.2944064731229017,1.0,False,True,False,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9457390146471372,0.9297603195739015,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,71.0,39.0,29.0,39.0,95.33333333333333,83.6,61.0,100.0,市场环境弱观察,True
600641,先导基电,,2026-06-18,33.45,31.784000000000002,29.266000000000002,28.202500000000004,25.56366666666667,21.968999999999998,0.11132867132867141,0.09981210071401714,0.025284473043225564,0.07677295255746053,0.1570390868211693,0.25187125748503014,0.25468867216804214,0.7540639748295754,2533942149.8,2109117543.2,1682196426.95,1.5063295279935323,0.0864142124293618,0.06277989063579639,35.28,35.28,False,False,-0.0518707482993197,-0.13970588235294112,1.8934999999999995,0.05660687593423017,2.202280722685974,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.949733688415446,0.9597203728362184,,,,,,True,True,True,True,True,False,True,True,False,100,True,短中线转强池,趋势转强,100.0,82.0,63.0,18.0,34.0,99.66666666666667,89.4,66.0,100.0,市场环境弱观察,True
600888,新疆众和,,2026-06-18,13.14,12.040000000000001,11.346,11.296000000000001,9.365666666666666,9.009583333333333,0.10865561694290982,0.0317359279803584,0.07750274240473143,0.04445931378015677,0.19346049046321534,0.22574626865671643,0.4190064794816415,0.6507537688442211,1558048089.6,1211241207.6,1329856898.15,1.1715907867737068,0.08258580169538314,0.07470439287323687,13.44,13.44,False,False,-0.022321428571428492,-0.1385390428211587,0.8964999999999996,0.06822678843226786,2.2300508102063397,1.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9793608521970706,0.9543941411451398,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,强趋势延续,100.0,85.0,77.0,15.0,23.0,98.33333333333333,91.4,77.0,100.0,市场环境弱观察,True
601869,长飞光纤,,2026-06-18,471.55,456.59000000000003,454.445,425.18649999999997,380.089,272.77383333333336,0.007333442173028892,0.045780587318864585,0.041312163558794746,0.10989148970962681,0.06562563557885692,0.03435039154181929,0.25478978179882916,1.1742438214680933,6723109606.4,7288991331.0,6884740094.1,0.9765233711816496,0.0363297136681036,0.039706869113996415,495.0,495.0,False,False,-0.0473737373737374,-0.09875498110792225,32.647499999999994,0.06923443961403879,1.2751940380369104,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9500665778961385,0.9810252996005326,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,强趋势延续,100.0,91.0,85.0,9.0,20.0,92.66666666666667,89.8,80.0,100.0,市场环境弱观察,True
603001,奥康国际,,2026-06-18,11.89,10.748000000000001,10.510000000000002,10.4585,9.501166666666668,9.344916666666666,0.06268538659284162,0.015851536825826518,0.045118417108024333,0.023262910376765866,0.24112734864300633,0.10399257195914591,0.3496027241770714,0.39227166276346614,245347341.4,213674915.3,262372412.1,0.9351110485903102,0.05657645817746517,0.06211928911666413,11.89,11.89,True,True,0.0,-0.11542012927054479,0.7724999999999997,0.0649705634987384,1.4636437292963298,1.0,False,True,False,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9687083888149135,0.9207723035952063,,,,,,True,True,True,True,False,True,True,True,False,100,True,短中线转强池,趋势转强,100.0,85.0,66.0,15.0,34.0,89.33333333333333,83.8,66.0,100.0,市场环境弱观察,True
603125,常青科技,,2026-06-18,28.72,27.101999999999997,25.603,25.310000000000002,22.012,20.238999999999997,0.10197609172968991,0.06095640643129463,0.0017018245141884325,0.05765904285988843,0.17464212678936608,0.18432989690721646,0.10759737755495569,0.639269406392694,259586143.4,204808384.0,203727226.35,1.274184840439713,0.023963973099008155,0.01970311684566384,28.98,29.15,False,False,-0.014751286449399603,-0.13499442171811082,1.2899999999999996,0.04491643454038996,1.8594081995980498,1.0,False,True,False,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9001331557922769,0.9527296937416777,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,65.0,61.0,35.0,42.0,90.0,78.6,58.0,100.0,市场环境弱观察,True
603139,康惠股份,,2026-06-18,45.21,41.072,39.415,38.635000000000005,34.4005,29.05075,0.07676174496644306,0.043774164503998625,0.015547991115433701,0.06018409130600055,0.13821752265861043,0.17489604989605012,0.18505897771952817,0.7150986342943855,319181596.8,238994632.8,190185986.05,1.6782603357330808,0.07857741690028029,0.048956635963155755,46.92,46.92,False,False,-0.03644501278772383,-0.08651399491094147,2.6025,0.05756469807564698,2.0899653620959904,1.0,False,True,False,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9320905459387483,0.9563914780292943,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,87.0,75.0,13.0,49.0,99.33333333333333,87.2,51.0,100.0,市场环境弱观察,True
603211,晋拓股份,,2026-06-18,36.44,32.269999999999996,31.296000000000003,29.627999999999997,27.575666666666667,25.040333333333333,0.03648744138241122,0.09258483452031863,0.022783761391880653,0.050614987014471424,0.1012390450287095,0.32028985507246355,0.23358158429248466,0.536904259805989,391875340.0,380987956.7,300825554.2,1.3026663942899837,0.04534731869554976,0.03659980795267244,36.44,36.44,True,True,0.0,-0.14543695582070304,2.2894999999999994,0.06282930845225027,1.5589599312408031,1.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9450732356857523,0.9450732356857523,,,,,,True,True,True,True,True,True,True,True,True,100,True,短中线转强池,趋势转强,100.0,92.0,86.0,8.0,29.0,100.0,92.6,71.0,100.0,市场环境弱观察,True
603269,海鸥股份,,2026-06-18,24.28,23.720000000000002,22.732,22.3565,18.218500000000002,15.924416666666668,0.049464649146093276,0.05357804968483504,0.023180778032036553,0.06385401459854023,0.14420358152686163,0.12355391022674689,0.1561904761904762,0.6744827586206896,909321550.0,702625822.0,624442885.55,1.4562125232623688,0.12415592839617354,0.0894908329723313,25.88,25.88,False,False,-0.061823802163832986,-0.08831168831168845,1.7414999999999998,0.07172570016474464,1.4079158622264563,0.0,False,True,True,0.033137727891003,0.08201872644250585,True,市场趋势良好,0.9214380825565912,0.9550599201065246,,,,,,True,True,True,True,True,False,True,True,False,100,True,短中线转强池,强趋势延续,100.0,100.0,68.0,0.0,16.0,98.66666666666667,96.0,84.0,100.0,市场环境弱观察,True
